t[s];T[K];P[Pa];Uliq[kmol];Uvap[kmol];x1;x2;x3;y1;y2;y3
   1971.31;  0.334590E+03;  0.117549E+06;  0.262325E+01;  0.211284E-03;  0.229139E+00;  0.253442E+00;  0.517418E+00;  0.180885E+00;  0.324712E+00;  0.494403E+00
   1981.31;  0.334593E+03;  0.117550E+06;  0.261051E+01;  0.211284E-03;  0.229375E+00;  0.253095E+00;  0.517530E+00;  0.181025E+00;  0.324512E+00;  0.494462E+00
   1991.31;  0.334595E+03;  0.117551E+06;  0.259777E+01;  0.211284E-03;  0.229612E+00;  0.252744E+00;  0.517644E+00;  0.181166E+00;  0.324311E+00;  0.494523E+00
   2001.31;  0.334598E+03;  0.117552E+06;  0.258504E+01;  0.211285E-03;  0.229851E+00;  0.252391E+00;  0.517758E+00;  0.181308E+00;  0.324108E+00;  0.494584E+00
   2011.31;  0.334601E+03;  0.117554E+06;  0.257230E+01;  0.211285E-03;  0.230091E+00;  0.252036E+00;  0.517872E+00;  0.181451E+00;  0.323903E+00;  0.494646E+00
   2021.31;  0.334604E+03;  0.117555E+06;  0.255956E+01;  0.211285E-03;  0.230333E+00;  0.251679E+00;  0.517988E+00;  0.181595E+00;  0.323697E+00;  0.494708E+00
   2031.31;  0.334606E+03;  0.117556E+06;  0.254682E+01;  0.211285E-03;  0.230577E+00;  0.251319E+00;  0.518104E+00;  0.181740E+00;  0.323489E+00;  0.494771E+00
   2041.31;  0.334609E+03;  0.117557E+06;  0.253408E+01;  0.211286E-03;  0.230822E+00;  0.250956E+00;  0.518222E+00;  0.181885E+00;  0.323280E+00;  0.494835E+00
   2051.31;  0.334612E+03;  0.117558E+06;  0.252134E+01;  0.211286E-03;  0.231069E+00;  0.250592E+00;  0.518340E+00;  0.182032E+00;  0.323069E+00;  0.494900E+00
   2061.31;  0.334615E+03;  0.117559E+06;  0.250859E+01;  0.211286E-03;  0.231324E+00;  0.250215E+00;  0.518461E+00;  0.182183E+00;  0.322848E+00;  0.494969E+00
   2071.31;  0.334618E+03;  0.117560E+06;  0.249585E+01;  0.211286E-03;  0.231585E+00;  0.249830E+00;  0.518585E+00;  0.182338E+00;  0.322622E+00;  0.495040E+00
   2081.31;  0.334621E+03;  0.117562E+06;  0.248311E+01;  0.211287E-03;  0.231849E+00;  0.249441E+00;  0.518710E+00;  0.182494E+00;  0.322393E+00;  0.495113E+00
   2091.31;  0.334624E+03;  0.117563E+06;  0.247036E+01;  0.211287E-03;  0.232114E+00;  0.249050E+00;  0.518836E+00;  0.182652E+00;  0.322162E+00;  0.495186E+00
   2101.31;  0.334627E+03;  0.117564E+06;  0.245762E+01;  0.211287E-03;  0.232381E+00;  0.248656E+00;  0.518963E+00;  0.182810E+00;  0.321929E+00;  0.495261E+00
   2111.31;  0.334631E+03;  0.117565E+06;  0.244487E+01;  0.211287E-03;  0.232651E+00;  0.248258E+00;  0.519091E+00;  0.182970E+00;  0.321694E+00;  0.495336E+00
   2121.31;  0.334634E+03;  0.117567E+06;  0.243213E+01;  0.211287E-03;  0.232923E+00;  0.247858E+00;  0.519220E+00;  0.183131E+00;  0.321456E+00;  0.495413E+00
   2131.31;  0.334637E+03;  0.117568E+06;  0.241938E+01;  0.211288E-03;  0.233196E+00;  0.247454E+00;  0.519350E+00;  0.183293E+00;  0.321216E+00;  0.495490E+00
   2141.31;  0.334641E+03;  0.117569E+06;  0.240664E+01;  0.211288E-03;  0.233472E+00;  0.247047E+00;  0.519481E+00;  0.183457E+00;  0.320975E+00;  0.495569E+00
   2151.31;  0.334644E+03;  0.117570E+06;  0.239389E+01;  0.211288E-03;  0.233750E+00;  0.246637E+00;  0.519613E+00;  0.183621E+00;  0.320731E+00;  0.495648E+00
   2161.31;  0.334647E+03;  0.117572E+06;  0.238114E+01;  0.211288E-03;  0.234031E+00;  0.246224E+00;  0.519746E+00;  0.183787E+00;  0.320485E+00;  0.495728E+00
   2171.31;  0.334651E+03;  0.117573E+06;  0.236839E+01;  0.211288E-03;  0.234313E+00;  0.245807E+00;  0.519880E+00;  0.183954E+00;  0.320236E+00;  0.495809E+00
   2181.31;  0.334654E+03;  0.117574E+06;  0.235564E+01;  0.211288E-03;  0.234597E+00;  0.245388E+00;  0.520015E+00;  0.184123E+00;  0.319986E+00;  0.495891E+00
   2191.31;  0.334658E+03;  0.117576E+06;  0.234289E+01;  0.211289E-03;  0.234884E+00;  0.244965E+00;  0.520151E+00;  0.184292E+00;  0.319733E+00;  0.495974E+00
   2201.31;  0.334661E+03;  0.117577E+06;  0.233014E+01;  0.211289E-03;  0.235173E+00;  0.244540E+00;  0.520288E+00;  0.184463E+00;  0.319478E+00;  0.496058E+00
   2211.31;  0.334665E+03;  0.117578E+06;  0.231739E+01;  0.211289E-03;  0.235464E+00;  0.244111E+00;  0.520426E+00;  0.184635E+00;  0.319221E+00;  0.496143E+00
   2221.31;  0.334669E+03;  0.117580E+06;  0.230464E+01;  0.211289E-03;  0.235757E+00;  0.243679E+00;  0.520565E+00;  0.184809E+00;  0.318962E+00;  0.496229E+00
   2231.31;  0.334672E+03;  0.117581E+06;  0.229189E+01;  0.211289E-03;  0.236052E+00;  0.243244E+00;  0.520705E+00;  0.184983E+00;  0.318701E+00;  0.496316E+00
   2241.31;  0.334676E+03;  0.117582E+06;  0.227914E+01;  0.211290E-03;  0.236349E+00;  0.242806E+00;  0.520846E+00;  0.185159E+00;  0.318437E+00;  0.496404E+00
   2251.31;  0.334680E+03;  0.117584E+06;  0.226639E+01;  0.211290E-03;  0.236648E+00;  0.242364E+00;  0.520988E+00;  0.185336E+00;  0.318172E+00;  0.496492E+00
   2261.31;  0.334683E+03;  0.117585E+06;  0.225363E+01;  0.211290E-03;  0.236950E+00;  0.241920E+00;  0.521131E+00;  0.185514E+00;  0.317904E+00;  0.496582E+00
   2271.31;  0.334687E+03;  0.117587E+06;  0.224088E+01;  0.211290E-03;  0.237253E+00;  0.241472E+00;  0.521275E+00;  0.185693E+00;  0.317634E+00;  0.496673E+00
   2281.31;  0.334691E+03;  0.117588E+06;  0.222813E+01;  0.211290E-03;  0.237559E+00;  0.241021E+00;  0.521420E+00;  0.185874E+00;  0.317361E+00;  0.496764E+00
   2291.31;  0.334695E+03;  0.117590E+06;  0.221537E+01;  0.211290E-03;  0.237867E+00;  0.240567E+00;  0.521566E+00;  0.186056E+00;  0.317087E+00;  0.496857E+00
   2301.31;  0.334699E+03;  0.117591E+06;  0.220262E+01;  0.211291E-03;  0.238177E+00;  0.240110E+00;  0.521713E+00;  0.186239E+00;  0.316811E+00;  0.496950E+00
   2311.31;  0.334703E+03;  0.117593E+06;  0.218986E+01;  0.211291E-03;  0.238489E+00;  0.239650E+00;  0.521861E+00;  0.186423E+00;  0.316532E+00;  0.497045E+00
   2321.31;  0.334707E+03;  0.117594E+06;  0.217711E+01;  0.211291E-03;  0.238803E+00;  0.239187E+00;  0.522010E+00;  0.186609E+00;  0.316251E+00;  0.497140E+00
   2331.31;  0.334711E+03;  0.117596E+06;  0.216435E+01;  0.211291E-03;  0.239120E+00;  0.238721E+00;  0.522160E+00;  0.186796E+00;  0.315968E+00;  0.497236E+00
   2341.31;  0.334715E+03;  0.117597E+06;  0.215159E+01;  0.211291E-03;  0.239438E+00;  0.238251E+00;  0.522311E+00;  0.186984E+00;  0.315683E+00;  0.497334E+00
   2351.31;  0.334719E+03;  0.117599E+06;  0.213883E+01;  0.211291E-03;  0.239759E+00;  0.237778E+00;  0.522463E+00;  0.187173E+00;  0.315395E+00;  0.497432E+00
   2361.31;  0.334723E+03;  0.117600E+06;  0.212608E+01;  0.211292E-03;  0.240082E+00;  0.237302E+00;  0.522616E+00;  0.187364E+00;  0.315105E+00;  0.497531E+00
   2371.31;  0.334727E+03;  0.117602E+06;  0.211332E+01;  0.211292E-03;  0.240407E+00;  0.236824E+00;  0.522770E+00;  0.187555E+00;  0.314814E+00;  0.497631E+00
   2381.31;  0.334731E+03;  0.117603E+06;  0.210056E+01;  0.211292E-03;  0.240734E+00;  0.236341E+00;  0.522925E+00;  0.187748E+00;  0.314520E+00;  0.497732E+00
   2391.31;  0.334736E+03;  0.117605E+06;  0.208780E+01;  0.211292E-03;  0.241063E+00;  0.235856E+00;  0.523081E+00;  0.187942E+00;  0.314224E+00;  0.497834E+00
   2401.31;  0.334740E+03;  0.117606E+06;  0.207504E+01;  0.211292E-03;  0.241394E+00;  0.235368E+00;  0.523238E+00;  0.188138E+00;  0.313925E+00;  0.497937E+00
   2411.31;  0.334744E+03;  0.117608E+06;  0.206228E+01;  0.211292E-03;  0.241728E+00;  0.234876E+00;  0.523396E+00;  0.188334E+00;  0.313625E+00;  0.498041E+00
   2421.31;  0.334749E+03;  0.117610E+06;  0.204952E+01;  0.211292E-03;  0.242063E+00;  0.234382E+00;  0.523555E+00;  0.188532E+00;  0.313322E+00;  0.498146E+00
   2431.31;  0.334753E+03;  0.117611E+06;  0.203675E+01;  0.211293E-03;  0.242401E+00;  0.233884E+00;  0.523715E+00;  0.188731E+00;  0.313017E+00;  0.498252E+00
   2441.31;  0.334757E+03;  0.117613E+06;  0.202399E+01;  0.211293E-03;  0.242741E+00;  0.233383E+00;  0.523876E+00;  0.188931E+00;  0.312710E+00;  0.498358E+00
   2451.31;  0.334762E+03;  0.117614E+06;  0.201123E+01;  0.211293E-03;  0.243083E+00;  0.232879E+00;  0.524038E+00;  0.189133E+00;  0.312401E+00;  0.498466E+00
   2461.31;  0.334766E+03;  0.117616E+06;  0.199846E+01;  0.211293E-03;  0.243434E+00;  0.232362E+00;  0.524204E+00;  0.189340E+00;  0.312081E+00;  0.498578E+00
   2471.31;  0.334771E+03;  0.117618E+06;  0.198570E+01;  0.211293E-03;  0.243806E+00;  0.231818E+00;  0.524376E+00;  0.189560E+00;  0.311740E+00;  0.498700E+00
   2481.31;  0.334777E+03;  0.117620E+06;  0.197293E+01;  0.211293E-03;  0.244180E+00;  0.231270E+00;  0.524550E+00;  0.189782E+00;  0.311395E+00;  0.498824E+00
   2491.31;  0.334782E+03;  0.117622E+06;  0.196016E+01;  0.211293E-03;  0.244558E+00;  0.230716E+00;  0.524726E+00;  0.190005E+00;  0.311046E+00;  0.498949E+00
   2501.31;  0.334787E+03;  0.117623E+06;  0.194739E+01;  0.211293E-03;  0.244938E+00;  0.230159E+00;  0.524903E+00;  0.190230E+00;  0.310694E+00;  0.499075E+00
   2511.31;  0.334792E+03;  0.117625E+06;  0.193461E+01;  0.211293E-03;  0.245323E+00;  0.229596E+00;  0.525081E+00;  0.190458E+00;  0.310339E+00;  0.499203E+00
   2521.31;  0.334798E+03;  0.117627E+06;  0.192184E+01;  0.211293E-03;  0.245710E+00;  0.229029E+00;  0.525261E+00;  0.190687E+00;  0.309980E+00;  0.499333E+00
   2531.31;  0.334803E+03;  0.117629E+06;  0.190907E+01;  0.211293E-03;  0.246101E+00;  0.228457E+00;  0.525442E+00;  0.190919E+00;  0.309618E+00;  0.499464E+00
   2541.31;  0.334808E+03;  0.117631E+06;  0.189630E+01;  0.211293E-03;  0.246495E+00;  0.227880E+00;  0.525625E+00;  0.191152E+00;  0.309252E+00;  0.499596E+00
   2551.31;  0.334814E+03;  0.117633E+06;  0.188352E+01;  0.211293E-03;  0.246893E+00;  0.227298E+00;  0.525809E+00;  0.191387E+00;  0.308882E+00;  0.499731E+00
   2561.31;  0.334820E+03;  0.117635E+06;  0.187075E+01;  0.211293E-03;  0.247294E+00;  0.226712E+00;  0.525994E+00;  0.191625E+00;  0.308509E+00;  0.499866E+00
   2571.31;  0.334825E+03;  0.117637E+06;  0.185797E+01;  0.211294E-03;  0.247698E+00;  0.226121E+00;  0.526181E+00;  0.191864E+00;  0.308133E+00;  0.500004E+00
   2581.31;  0.334831E+03;  0.117639E+06;  0.184519E+01;  0.211294E-03;  0.248105E+00;  0.225525E+00;  0.526369E+00;  0.192105E+00;  0.307753E+00;  0.500142E+00
   2591.31;  0.334837E+03;  0.117641E+06;  0.183242E+01;  0.211294E-03;  0.248516E+00;  0.224925E+00;  0.526559E+00;  0.192348E+00;  0.307369E+00;  0.500283E+00
   2601.31;  0.334843E+03;  0.117643E+06;  0.181964E+01;  0.211294E-03;  0.248930E+00;  0.224320E+00;  0.526750E+00;  0.192593E+00;  0.306982E+00;  0.500424E+00
   2611.31;  0.334848E+03;  0.117645E+06;  0.180686E+01;  0.211294E-03;  0.249348E+00;  0.223710E+00;  0.526943E+00;  0.192840E+00;  0.306592E+00;  0.500568E+00
   2621.31;  0.334854E+03;  0.117647E+06;  0.179408E+01;  0.211294E-03;  0.249768E+00;  0.223095E+00;  0.527137E+00;  0.193090E+00;  0.306198E+00;  0.500713E+00
   2631.31;  0.334860E+03;  0.117650E+06;  0.178130E+01;  0.211294E-03;  0.250192E+00;  0.222476E+00;  0.527332E+00;  0.193341E+00;  0.305800E+00;  0.500859E+00
   2641.31;  0.334866E+03;  0.117652E+06;  0.176852E+01;  0.211294E-03;  0.250620E+00;  0.221852E+00;  0.527529E+00;  0.193594E+00;  0.305399E+00;  0.501007E+00
   2651.31;  0.334873E+03;  0.117654E+06;  0.175574E+01;  0.211294E-03;  0.251050E+00;  0.221223E+00;  0.527727E+00;  0.193849E+00;  0.304995E+00;  0.501157E+00
   2661.31;  0.334879E+03;  0.117656E+06;  0.174295E+01;  0.211294E-03;  0.251484E+00;  0.220589E+00;  0.527926E+00;  0.194106E+00;  0.304587E+00;  0.501308E+00
   2671.31;  0.334885E+03;  0.117658E+06;  0.173017E+01;  0.211294E-03;  0.251922E+00;  0.219951E+00;  0.528127E+00;  0.194364E+00;  0.304175E+00;  0.501460E+00
   2681.31;  0.334891E+03;  0.117660E+06;  0.171739E+01;  0.211294E-03;  0.252362E+00;  0.219308E+00;  0.528330E+00;  0.194625E+00;  0.303760E+00;  0.501614E+00
   2691.31;  0.334898E+03;  0.117663E+06;  0.170460E+01;  0.211294E-03;  0.252806E+00;  0.218661E+00;  0.528533E+00;  0.194888E+00;  0.303342E+00;  0.501770E+00
   2701.31;  0.334904E+03;  0.117665E+06;  0.169181E+01;  0.211294E-03;  0.253253E+00;  0.218008E+00;  0.528739E+00;  0.195153E+00;  0.302920E+00;  0.501927E+00
   2711.31;  0.334911E+03;  0.117667E+06;  0.167903E+01;  0.211294E-03;  0.253704E+00;  0.217351E+00;  0.528945E+00;  0.195420E+00;  0.302494E+00;  0.502086E+00
   2721.31;  0.334917E+03;  0.117669E+06;  0.166624E+01;  0.211293E-03;  0.254158E+00;  0.216689E+00;  0.529153E+00;  0.195689E+00;  0.302065E+00;  0.502246E+00
   2731.31;  0.334924E+03;  0.117672E+06;  0.165345E+01;  0.211293E-03;  0.254615E+00;  0.216022E+00;  0.529363E+00;  0.195959E+00;  0.301633E+00;  0.502408E+00
   2741.31;  0.334931E+03;  0.117674E+06;  0.164067E+01;  0.211293E-03;  0.255075E+00;  0.215351E+00;  0.529574E+00;  0.196232E+00;  0.301197E+00;  0.502571E+00
   2751.31;  0.334937E+03;  0.117676E+06;  0.162788E+01;  0.211293E-03;  0.255539E+00;  0.214675E+00;  0.529786E+00;  0.196507E+00;  0.300757E+00;  0.502736E+00
   2761.31;  0.334944E+03;  0.117679E+06;  0.161509E+01;  0.211293E-03;  0.256006E+00;  0.213994E+00;  0.530000E+00;  0.196783E+00;  0.300314E+00;  0.502903E+00
   2771.31;  0.334951E+03;  0.117681E+06;  0.160229E+01;  0.211293E-03;  0.256476E+00;  0.213309E+00;  0.530215E+00;  0.197062E+00;  0.299867E+00;  0.503071E+00
   2781.31;  0.334958E+03;  0.117684E+06;  0.158950E+01;  0.211293E-03;  0.256950E+00;  0.212619E+00;  0.530431E+00;  0.197343E+00;  0.299417E+00;  0.503240E+00
   2791.31;  0.334965E+03;  0.117686E+06;  0.157671E+01;  0.211293E-03;  0.257427E+00;  0.211924E+00;  0.530649E+00;  0.197625E+00;  0.298964E+00;  0.503411E+00
   2801.31;  0.334972E+03;  0.117688E+06;  0.156392E+01;  0.211293E-03;  0.257907E+00;  0.211224E+00;  0.530869E+00;  0.197910E+00;  0.298507E+00;  0.503584E+00
   2811.31;  0.334979E+03;  0.117691E+06;  0.155112E+01;  0.211293E-03;  0.258391E+00;  0.210520E+00;  0.531090E+00;  0.198196E+00;  0.298046E+00;  0.503758E+00
   2821.31;  0.334986E+03;  0.117693E+06;  0.153833E+01;  0.211293E-03;  0.258878E+00;  0.209810E+00;  0.531312E+00;  0.198485E+00;  0.297582E+00;  0.503933E+00
   2831.31;  0.334993E+03;  0.117696E+06;  0.152553E+01;  0.211293E-03;  0.259368E+00;  0.209097E+00;  0.531535E+00;  0.198775E+00;  0.297115E+00;  0.504110E+00
   2841.31;  0.335001E+03;  0.117698E+06;  0.151274E+01;  0.211293E-03;  0.259862E+00;  0.208378E+00;  0.531760E+00;  0.199068E+00;  0.296643E+00;  0.504289E+00
   2851.31;  0.335008E+03;  0.117701E+06;  0.149994E+01;  0.211293E-03;  0.260359E+00;  0.207655E+00;  0.531987E+00;  0.199362E+00;  0.296169E+00;  0.504469E+00
   2861.31;  0.335016E+03;  0.117703E+06;  0.148714E+01;  0.211293E-03;  0.260859E+00;  0.206927E+00;  0.532215E+00;  0.199658E+00;  0.295691E+00;  0.504651E+00
   2871.31;  0.335025E+03;  0.117706E+06;  0.147434E+01;  0.211292E-03;  0.261421E+00;  0.206121E+00;  0.532458E+00;  0.199997E+00;  0.295131E+00;  0.504872E+00
   2881.31;  0.335034E+03;  0.117709E+06;  0.146154E+01;  0.211291E-03;  0.261994E+00;  0.205302E+00;  0.532705E+00;  0.200342E+00;  0.294559E+00;  0.505099E+00
   2891.31;  0.335044E+03;  0.117712E+06;  0.144873E+01;  0.211290E-03;  0.262574E+00;  0.204473E+00;  0.532953E+00;  0.200692E+00;  0.293977E+00;  0.505331E+00
   2901.31;  0.335053E+03;  0.117715E+06;  0.143592E+01;  0.211290E-03;  0.263162E+00;  0.203634E+00;  0.533205E+00;  0.201047E+00;  0.293386E+00;  0.505566E+00
   2911.31;  0.335063E+03;  0.117718E+06;  0.142311E+01;  0.211289E-03;  0.263757E+00;  0.202785E+00;  0.533459E+00;  0.201407E+00;  0.292786E+00;  0.505806E+00
   2921.31;  0.335073E+03;  0.117721E+06;  0.141031E+01;  0.211288E-03;  0.264360E+00;  0.201925E+00;  0.533715E+00;  0.201772E+00;  0.292177E+00;  0.506051E+00
   2931.31;  0.335084E+03;  0.117724E+06;  0.139750E+01;  0.211287E-03;  0.264971E+00;  0.201056E+00;  0.533974E+00;  0.202142E+00;  0.291559E+00;  0.506299E+00
   2941.31;  0.335094E+03;  0.117728E+06;  0.138468E+01;  0.211286E-03;  0.265589E+00;  0.200176E+00;  0.534235E+00;  0.202517E+00;  0.290931E+00;  0.506553E+00
   2951.31;  0.335105E+03;  0.117731E+06;  0.137187E+01;  0.211285E-03;  0.266215E+00;  0.199286E+00;  0.534498E+00;  0.202896E+00;  0.290294E+00;  0.506810E+00
   2961.31;  0.335116E+03;  0.117734E+06;  0.135906E+01;  0.211284E-03;  0.266849E+00;  0.198386E+00;  0.534765E+00;  0.203281E+00;  0.289647E+00;  0.507072E+00
   2971.31;  0.335127E+03;  0.117737E+06;  0.134624E+01;  0.211283E-03;  0.267490E+00;  0.197476E+00;  0.535033E+00;  0.203671E+00;  0.288991E+00;  0.507338E+00
   2981.31;  0.335138E+03;  0.117741E+06;  0.133343E+01;  0.211282E-03;  0.268140E+00;  0.196556E+00;  0.535304E+00;  0.204065E+00;  0.288326E+00;  0.507608E+00
   2991.31;  0.335149E+03;  0.117744E+06;  0.132061E+01;  0.211281E-03;  0.268796E+00;  0.195626E+00;  0.535578E+00;  0.204465E+00;  0.287652E+00;  0.507883E+00
   3001.31;  0.335161E+03;  0.117747E+06;  0.130779E+01;  0.211280E-03;  0.269461E+00;  0.194686E+00;  0.535854E+00;  0.204869E+00;  0.286968E+00;  0.508162E+00
   3011.31;  0.335173E+03;  0.117751E+06;  0.129497E+01;  0.211278E-03;  0.270133E+00;  0.193735E+00;  0.536132E+00;  0.205279E+00;  0.286276E+00;  0.508446E+00
   3021.31;  0.335184E+03;  0.117754E+06;  0.128215E+01;  0.211277E-03;  0.270813E+00;  0.192774E+00;  0.536413E+00;  0.205693E+00;  0.285573E+00;  0.508733E+00
   3031.31;  0.335197E+03;  0.117758E+06;  0.126933E+01;  0.211276E-03;  0.271500E+00;  0.191804E+00;  0.536696E+00;  0.206113E+00;  0.284862E+00;  0.509025E+00
   3041.31;  0.335209E+03;  0.117761E+06;  0.125651E+01;  0.211274E-03;  0.272195E+00;  0.190823E+00;  0.536982E+00;  0.206537E+00;  0.284141E+00;  0.509322E+00
   3051.31;  0.335221E+03;  0.117765E+06;  0.124368E+01;  0.211273E-03;  0.272898E+00;  0.189831E+00;  0.537270E+00;  0.206966E+00;  0.283411E+00;  0.509623E+00
   3061.31;  0.335234E+03;  0.117768E+06;  0.123086E+01;  0.211271E-03;  0.273609E+00;  0.188830E+00;  0.537561E+00;  0.207400E+00;  0.282672E+00;  0.509928E+00
   3071.31;  0.335247E+03;  0.117772E+06;  0.121803E+01;  0.211270E-03;  0.274327E+00;  0.187819E+00;  0.537854E+00;  0.207840E+00;  0.281923E+00;  0.510237E+00
   3081.31;  0.335260E+03;  0.117776E+06;  0.120520E+01;  0.211268E-03;  0.275053E+00;  0.186797E+00;  0.538150E+00;  0.208284E+00;  0.281165E+00;  0.510551E+00
   3091.31;  0.335273E+03;  0.117780E+06;  0.119237E+01;  0.211267E-03;  0.275786E+00;  0.185766E+00;  0.538448E+00;  0.208733E+00;  0.280398E+00;  0.510869E+00
   3101.31;  0.335287E+03;  0.117783E+06;  0.117954E+01;  0.211265E-03;  0.276527E+00;  0.184724E+00;  0.538749E+00;  0.209187E+00;  0.279621E+00;  0.511192E+00
   3111.31;  0.335300E+03;  0.117787E+06;  0.116671E+01;  0.211264E-03;  0.277276E+00;  0.183672E+00;  0.539052E+00;  0.209646E+00;  0.278835E+00;  0.511519E+00
   3121.31;  0.335314E+03;  0.117791E+06;  0.115388E+01;  0.211262E-03;  0.278033E+00;  0.182610E+00;  0.539357E+00;  0.210110E+00;  0.278040E+00;  0.511850E+00
   3131.31;  0.335328E+03;  0.117795E+06;  0.114105E+01;  0.211260E-03;  0.278797E+00;  0.181538E+00;  0.539665E+00;  0.210578E+00;  0.277236E+00;  0.512186E+00
   3141.31;  0.335343E+03;  0.117800E+06;  0.112821E+01;  0.211258E-03;  0.279621E+00;  0.180399E+00;  0.539980E+00;  0.211093E+00;  0.276357E+00;  0.512550E+00
   3151.31;  0.335360E+03;  0.117804E+06;  0.111536E+01;  0.211256E-03;  0.280469E+00;  0.179233E+00;  0.540298E+00;  0.211625E+00;  0.275448E+00;  0.512927E+00
   3161.31;  0.335377E+03;  0.117809E+06;  0.110252E+01;  0.211255E-03;  0.281330E+00;  0.178051E+00;  0.540619E+00;  0.212166E+00;  0.274523E+00;  0.513311E+00
   3171.31;  0.335394E+03;  0.117814E+06;  0.108967E+01;  0.211253E-03;  0.282205E+00;  0.176852E+00;  0.540943E+00;  0.212717E+00;  0.273581E+00;  0.513702E+00
   3181.31;  0.335411E+03;  0.117819E+06;  0.107682E+01;  0.211251E-03;  0.283093E+00;  0.175636E+00;  0.541271E+00;  0.213278E+00;  0.272622E+00;  0.514100E+00
   3191.31;  0.335429E+03;  0.117824E+06;  0.106397E+01;  0.211249E-03;  0.283995E+00;  0.174405E+00;  0.541601E+00;  0.213847E+00;  0.271648E+00;  0.514505E+00
   3201.31;  0.335447E+03;  0.117829E+06;  0.105112E+01;  0.211247E-03;  0.284910E+00;  0.173157E+00;  0.541933E+00;  0.214427E+00;  0.270656E+00;  0.514917E+00
   3211.31;  0.335465E+03;  0.117835E+06;  0.103826E+01;  0.211245E-03;  0.285838E+00;  0.171892E+00;  0.542269E+00;  0.215015E+00;  0.269648E+00;  0.515336E+00
   3221.31;  0.335484E+03;  0.117840E+06;  0.102540E+01;  0.211242E-03;  0.286780E+00;  0.170612E+00;  0.542608E+00;  0.215614E+00;  0.268624E+00;  0.515763E+00
   3231.31;  0.335503E+03;  0.117846E+06;  0.101255E+01;  0.211240E-03;  0.287736E+00;  0.169315E+00;  0.542950E+00;  0.216221E+00;  0.267583E+00;  0.516196E+00
   3241.31;  0.335523E+03;  0.117851E+06;  0.999685E+00;  0.211238E-03;  0.288704E+00;  0.168001E+00;  0.543294E+00;  0.216838E+00;  0.266525E+00;  0.516637E+00
   3251.31;  0.335543E+03;  0.117857E+06;  0.986822E+00;  0.211236E-03;  0.289687E+00;  0.166672E+00;  0.543642E+00;  0.217465E+00;  0.265451E+00;  0.517084E+00
   3261.31;  0.335563E+03;  0.117863E+06;  0.973958E+00;  0.211234E-03;  0.290682E+00;  0.165325E+00;  0.543992E+00;  0.218101E+00;  0.264360E+00;  0.517539E+00
   3271.31;  0.335584E+03;  0.117869E+06;  0.961091E+00;  0.211231E-03;  0.291691E+00;  0.163963E+00;  0.544346E+00;  0.218746E+00;  0.263253E+00;  0.518001E+00
   3281.31;  0.335605E+03;  0.117875E+06;  0.948223E+00;  0.211229E-03;  0.292714E+00;  0.162584E+00;  0.544702E+00;  0.219401E+00;  0.262130E+00;  0.518470E+00
   3291.31;  0.335626E+03;  0.117881E+06;  0.935353E+00;  0.211226E-03;  0.293750E+00;  0.161189E+00;  0.545061E+00;  0.220065E+00;  0.260989E+00;  0.518946E+00
   3301.31;  0.335648E+03;  0.117887E+06;  0.922482E+00;  0.211224E-03;  0.294799E+00;  0.159777E+00;  0.545423E+00;  0.220739E+00;  0.259833E+00;  0.519429E+00
   3311.31;  0.335670E+03;  0.117894E+06;  0.909608E+00;  0.211222E-03;  0.295862E+00;  0.158350E+00;  0.545788E+00;  0.221422E+00;  0.258660E+00;  0.519919E+00
   3321.31;  0.335692E+03;  0.117900E+06;  0.896732E+00;  0.211219E-03;  0.296938E+00;  0.156905E+00;  0.546156E+00;  0.222114E+00;  0.257470E+00;  0.520416E+00
   3331.31;  0.335715E+03;  0.117907E+06;  0.883855E+00;  0.211216E-03;  0.298028E+00;  0.155445E+00;  0.546527E+00;  0.222816E+00;  0.256263E+00;  0.520920E+00
   3341.31;  0.335738E+03;  0.117913E+06;  0.870976E+00;  0.211214E-03;  0.299131E+00;  0.153968E+00;  0.546901E+00;  0.223528E+00;  0.255041E+00;  0.521431E+00
   3351.31;  0.335764E+03;  0.117920E+06;  0.858089E+00;  0.211210E-03;  0.300318E+00;  0.152412E+00;  0.547270E+00;  0.224317E+00;  0.253677E+00;  0.522006E+00
   3361.31;  0.335793E+03;  0.117928E+06;  0.845198E+00;  0.211205E-03;  0.301554E+00;  0.150808E+00;  0.547638E+00;  0.225150E+00;  0.252235E+00;  0.522615E+00
   3371.31;  0.335822E+03;  0.117935E+06;  0.832305E+00;  0.211200E-03;  0.302814E+00;  0.149178E+00;  0.548008E+00;  0.226004E+00;  0.250755E+00;  0.523241E+00
   3381.31;  0.335852E+03;  0.117943E+06;  0.819409E+00;  0.211194E-03;  0.304100E+00;  0.147521E+00;  0.548379E+00;  0.226878E+00;  0.249238E+00;  0.523883E+00
   3391.31;  0.335883E+03;  0.117950E+06;  0.806510E+00;  0.211189E-03;  0.305411E+00;  0.145837E+00;  0.548752E+00;  0.227774E+00;  0.247684E+00;  0.524542E+00
   3401.31;  0.335915E+03;  0.117958E+06;  0.793608E+00;  0.211183E-03;  0.306747E+00;  0.144126E+00;  0.549127E+00;  0.228690E+00;  0.246092E+00;  0.525218E+00
   3411.31;  0.335948E+03;  0.117966E+06;  0.780704E+00;  0.211177E-03;  0.308108E+00;  0.142389E+00;  0.549503E+00;  0.229627E+00;  0.244464E+00;  0.525909E+00
